
@RELATION Empathy

@ATTRIBUTE score 	 INTEGER
@ATTRIBUTE codes	     {NA,S-CALM-R}
@ATTRIBUTE class 	{NA,Low,Medium,High}

@DATA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
-1,NA,Low
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
-1,NA,Low
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
-1,NA,Low
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
-1,S-CALM-R,Low
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
%
%
%
